attack_flag,h_true,c_true,detected,tau_detect,tau_detect_censored,false_alarm,h_hat_final,id_correct,final_entropy,final_ampvar,cumulative_act_cost,planner_runtime_ms_mean,planner_runtime_ms_p95,max_hide_error,algorithm,episode_id,case,attack_mag
True,32,0.01,False,20,20,False,0,False,0.5467974402758007,0.3737548756766422,0.6449621867960693,24.88911660038866,31.201183388475336,0.0,HMTD-MDE,20,case57,0.01
True,20,0.01,False,20,20,False,17,False,0.266872356619585,0.03414640463856595,0.6449621867960693,28.50482905341778,43.574973224895096,0.0,HMTD-MDE,21,case57,0.01
True,46,0.01,False,20,20,False,0,False,0.5575519956930958,0.367746218229765,0.6449621867960693,30.729918699944392,64.69486633432098,0.0,HMTD-MDE,22,case57,0.01
True,42,0.01,False,20,20,False,0,False,0.5787714050177056,0.3422541451691412,0.6449621867960693,37.42411870334763,85.31056943174922,0.0,HMTD-MDE,23,case57,0.01
True,56,-0.01,True,3,3,False,0,False,0.6460410086656164,0.3035204037313505,0.6449621867960693,31.115272897295654,52.23517671984155,0.0,HMTD-MDE,24,case57,0.01
True,53,0.01,False,20,20,False,51,False,0.1579531553458851,0.02484223849093927,0.6449621867960693,30.13749794336036,48.67407119891141,0.0,HMTD-MDE,25,case57,0.01
True,48,0.01,False,20,20,False,49,False,0.1883601714057174,0.010631881050761894,0.6449621867960693,36.18347295850981,54.93736878852363,0.0,HMTD-MDE,26,case57,0.01
True,24,-0.01,False,20,20,False,33,False,0.4398958801706536,0.028604546533907177,0.6449621867960693,37.33396650641225,81.92434965749273,0.0,HMTD-MDE,27,case57,0.01
True,20,0.01,False,20,20,False,17,False,0.22867569654113168,0.03539101714671081,0.6449621867960693,31.927462396561168,73.47422946768347,0.0,HMTD-MDE,28,case57,0.01
True,34,-0.01,True,18,18,False,0,False,0.6854156725972281,0.29157684423055963,0.6449621867960693,29.370943846879527,38.47639173618519,0.0,HMTD-MDE,29,case57,0.01
True,11,-0.01,True,1,1,False,11,True,3.8671819781197475e-10,0.0002955651145503168,0.6449621867960693,37.450852105394006,88.32150177622681,0.0,HMTD-MDE,30,case57,0.01
True,38,0.01,False,20,20,False,0,False,0.5831593481934032,0.35535959960946595,0.6449621867960693,34.212672847206704,64.72693719551901,0.0,HMTD-MDE,31,case57,0.01
True,32,0.01,False,20,20,False,0,False,0.5879016679549589,0.3534937137711325,0.6449621867960693,38.52886039821897,84.3945937289391,0.0,HMTD-MDE,32,case57,0.01
True,15,-0.01,False,20,20,False,0,False,0.5697134041143389,0.37038809025153197,0.6449621867960693,36.88536465342622,81.37402923312042,0.0,HMTD-MDE,33,case57,0.01
True,36,0.01,True,1,1,False,36,True,0.15128114154418204,0.000842643780288468,0.6449621867960693,40.352881493163295,97.51784342515748,0.0,HMTD-MDE,34,case57,0.01
